Post ID,Publication Date,Language,Topic,Title,Full Approved Post Text,LinkedIn URL,Activity ID,Embed Status,Last Updated,Source Order
G20,2026-09-17,DE,Process Automation Results,43 % höhere Produktivität. 28 % bessere Qualität.,"DEUTSCH

43 % höhere Produktivität. 28 % bessere Qualität.

Bei Labcorp, ehemals Covance, entwickelte ich 27 Makros für eine operative Plattform mit 32 Modulen.

Ich analysierte die Arbeitsabläufe, entwickelte und testete die Makros und erstellte die Validierungsdokumentation für die Qualitätssicherung.

Ausserdem schulte ich Kollegen in mehreren internationalen Geschäftsbereichen.

Die sechs Folien zeigen die Arbeit hinter diesen Ergebnissen.

Sie suchen Unterstützung in Business Analysis oder Prozessverbesserung? Lassen Sie uns ins Gespräch kommen.

#BusinessAnalysis #Prozessautomatisierung #Prozessverbesserung",https://www.linkedin.com/feed/update/urn:li:activity:7506330784522264576/,7506330784522264576,Not checked,2026-09-17,1
F18,2026-09-17,FR,Process Automation Results,43 % de productivité en plus. Une amélioration de la qualité de 28 %.,"FRANÇAIS

43 % de productivité en plus. Une amélioration de la qualité de 28 %.

Chez Labcorp, anciennement Covance, j’ai développé 27 macros pour une plateforme opérationnelle composée de 32 modules.

J’ai analysé les activités, développé et testé les macros, puis préparé la documentation de validation pour l’Assurance Qualité.

J’ai également formé des collègues dans plusieurs unités opérationnelles internationales.

Les six diapositives présentent le travail derrière ces résultats.

Vous recrutez en Business Analysis ou en amélioration des processus ? Échangeons.

#BusinessAnalysis #AutomatisationDesProcessus #AméliorationDesProcessus",https://www.linkedin.com/feed/update/urn:li:activity:7506330783964364800/,7506330783964364800,Not checked,2026-09-17,2
E44,2026-09-17,EN,Process Automation Results,43% higher productivity. 28% better quality.,"ENGLISH

43% higher productivity. 28% better quality.

At Labcorp, formerly Covance, I built 27 macros for a 32-module operational platform.

I analysed the work, developed and tested the macros, and prepared QA validation documentation.

I also trained colleagues across international business units.

The six slides show the work behind those results.

Recruiting for Business Analysis or process improvement? Let's connect.

#BusinessAnalysis #ProcessAutomation #ProcessImprovement",https://www.linkedin.com/feed/update/urn:li:activity:7506239868402900993/,7506239868402900993,Not checked,2026-09-17,3
G19,2026-09-17,DE,Leadership & Team Coordination,Globale Teamführung und Kundenkoordination,"DEUTSCH

Bei Labcorp, ehemals Covance Central Laboratory Services SA, leitete ich ein globales Team von sechs Mitarbeitenden, das sich der Kundenkoordination für eines der weltweit führenden Pharmaunternehmen widmete.

Das Team arbeitete zwischen Genf und Indianapolis und koordinierte komplexe Anfragen unter Beteiligung folgender Bereiche:
• Projektmanagement
• Datenmanagement
• Laborbetrieb
• Probenmanagement
• Logistik
• Kundenkoordination

Zu meinen Aufgaben gehörten die Organisation der Arbeitslast, die Klärung von Prioritäten, die Weiterleitung von Anfragen an die zuständigen Teams, die Nachverfolgung von Problemen bis zur Lösung und die Information der Stakeholder.

Neben der Leitung dieses Teams unterstützte ich auch die Koordination der Arbeitslast von rund 25 Kundenkoordinatoren und die Bearbeitung von Anfragen aus einem zentralen Postfach.

Menschen arbeiten effektiver, wenn Prioritäten, Verantwortlichkeiten und Kommunikation klar sind.

Diese Perspektive bringe ich in meine Arbeit als Senior Business Analyst ein und verbinde dabei Stakeholdermanagement, Systemanalyse, Datenmanagement, Projektmanagement und Prozessverbesserung.

Was hilft Ihren Teams, den Überblick zu behalten, wenn mehrere Abteilungen und Standorte zusammenarbeiten müssen?

#Leadership #BusinessAnalysis #Projektmanagement #Stakeholdermanagement #Teamkoordination",https://www.linkedin.com/feed/update/urn:li:activity:7506223539763650560/,7506223539763650560,Not checked,2026-09-17,4
F17,2026-09-17,FR,Leadership & Team Coordination,Leadership et coordination client internationale,"FRANÇAIS

Chez Labcorp, anciennement Covance Central Laboratory Services SA, j'ai dirigé une équipe internationale dédiée de six collègues chargés de la coordination client pour l'une des principales entreprises pharmaceutiques mondiales.

L'équipe travaillait entre Genève et Indianapolis et coordonnait des demandes complexes impliquant :
• La gestion de projet
• La gestion des données
• Les opérations de laboratoire
• La gestion des échantillons
• La logistique
• La coordination client

Mes responsabilités comprenaient l'organisation de la charge de travail, la clarification des priorités, l'orientation des demandes vers les équipes concernées, le suivi des problèmes jusqu'à leur résolution et l'information des parties prenantes.

En parallèle de la direction de cette équipe dédiée, je contribuais également à la coordination de la charge de travail d'environ 25 coordinateurs clients et à la gestion des demandes reçues dans une boîte aux lettres centralisée.

Les personnes travaillent plus efficacement lorsque les priorités, les responsabilités et la communication sont claires.

J'apporte cette perspective à mon travail de Senior Business Analyst, en associant gestion des parties prenantes, analyse des systèmes, gestion des données, gestion de projet et amélioration des processus.

Qu'est-ce qui aide vos équipes à maintenir cette clarté lorsque plusieurs départements et sites doivent travailler ensemble ?

#Leadership #BusinessAnalysis #GestionDeProjet #GestionDesPartiesPrenantes #CoordinationDesÉquipes",https://www.linkedin.com/feed/update/urn:li:activity:7506223536429105152/,7506223536429105152,Not checked,2026-09-17,5
E43,2026-09-17,EN,Leadership & Team Coordination,Global Team Leadership and Client Coordination,"ENGLISH

At Labcorp, formerly Covance Central Laboratory Services SA, I led a dedicated global client-coordination team of six colleagues supporting one of the world's leading pharmaceutical companies.

The team operated between Geneva and Indianapolis and coordinated complex requests involving:
• Project Management
• Data Management
• Laboratory Operations
• Specimen Management
• Logistics
• Client Coordination

My responsibilities included organizing workloads, clarifying priorities, directing requests to the appropriate teams, following issues through to resolution and keeping stakeholders informed.

Alongside leading the dedicated team, I also supported workload coordination for approximately 25 client coordinators and helped manage requests received through a central mailbox.

People perform more effectively when priorities, responsibilities and communication are clear.

I bring this perspective to my work as a Senior Business Analyst, combining stakeholder management, Systems Analysis, Data Management, Project Management and process improvement.

What helps your teams maintain clarity when several departments and locations must work together?

#Leadership #BusinessAnalysis #ProjectManagement #StakeholderManagement #TeamCoordination",https://www.linkedin.com/feed/update/urn:li:activity:7506223534713704448/,7506223534713704448,Not checked,2026-09-17,6
G18,2026-09-15,DE,User Training & Business Analysis,"Benutzerschulungen können aufzeigen, was in einem Anforderungsdokument fehlt.","DEUTSCH

Benutzerschulungen können aufzeigen, was in einem Anforderungsdokument fehlt.

Ich habe Kollegen in Geschäftsbereichen in Singapur, Indianapolis, Indien, China und Japan geschult. Ausserdem habe ich die Dokumentation für den Qualitätssicherungsprozess erstellt, mit dem unsere Makros validiert wurden.

Dokumentation, Validierung und die Unterstützung der Benutzer gehören zusammen.

Für Business Analysts bieten Schulungen die Gelegenheit, folgende Fragen zu stellen:
• Welcher Schritt braucht weitere Erklärungen?
• Welche Geschäftsregel ist unklar?
• Entsprechen die Anleitungen der tatsächlichen Arbeit der Benutzer?
• Welche Fragen sollten zu einer Aktualisierung der Dokumentation führen?
• Welche Probleme müssen genauer analysiert werden, bevor eine Änderung vereinbart wird?

Aus diesen Fragen kann eine konkrete Liste von Verbesserungen entstehen, die mit den zuständigen Personen geprüft wird.

In meiner KI-Weiterbildung möchte ich untersuchen, wie sich Benutzerfeedback strukturieren und Anleitungen entwerfen lassen. Dies ist ein geplanter Anwendungsfall, bei dem jede Änderung fachlich geprüft werden müsste.

Was haben Sie durch Benutzerschulungen über einen Prozess oder ein System herausgefunden?

#BusinessAnalysis #Benutzerschulung #ChangeManagement #Prozessverbesserung #VerantwortungsvolleKI",https://www.linkedin.com/feed/update/urn:li:activity:7505634283320131584/,7505634283320131584,Not checked,2026-09-17,7
F16,2026-09-15,FR,User Training & Business Analysis,La formation des utilisateurs peut révéler ce qu'un document d'exigences n'a pas identifié.,"FRANÇAIS

La formation des utilisateurs peut révéler ce qu'un document d'exigences n'a pas identifié.

J'ai formé des collègues dans des unités opérationnelles à Singapour, Indianapolis, en Inde, en Chine et au Japon. J'ai également préparé la documentation du processus d'Assurance Qualité utilisé pour valider nos macros.

Documentation, validation et accompagnement des utilisateurs doivent aller de pair.

Pour les Business Analysts, la formation est l'occasion de poser plusieurs questions :
• Quelle étape nécessite davantage d'explications ?
• Quelle règle métier manque de clarté ?
• Les guides correspondent-ils au travail réel des utilisateurs ?
• Quelles questions devraient conduire à mettre à jour la documentation ?
• Quels problèmes nécessitent une analyse complémentaire avant de convenir d'un changement ?

Ces questions peuvent transformer les retours des utilisateurs en une liste concrète d'améliorations à examiner avec les responsables concernés.

Dans le cadre de ma formation en IA, je souhaite explorer l'organisation des retours utilisateurs et la rédaction de guides. Il s'agit d'un cas d'usage envisagé, avec une revue professionnelle de toute modification.

Qu'est-ce que la formation des utilisateurs vous a permis de découvrir sur un processus ou un système ?

#BusinessAnalysis #FormationUtilisateurs #GestionDuChangement #AméliorationDesProcessus #IAResponsable",https://www.linkedin.com/feed/update/urn:li:activity:7505634281650601984/,7505634281650601984,Not checked,2026-09-17,8
E42,2026-09-15,EN,User Training & Business Analysis,User training can reveal what a requirements document missed.,"ENGLISH

User training can reveal what a requirements document missed.

I trained colleagues in business units in Singapore, Indianapolis, India, China and Japan. I also prepared documentation for the Quality Assurance process used to validate our macros.

Documentation, validation and helping people use a solution belong together.

For Business Analysts, training is an opportunity to ask:
• Which step needs further explanation?
• Where is a business rule unclear?
• Does the guidance reflect the work users actually do?
• Which questions should become documentation updates?
• Which issues need further analysis before a change is agreed?

These questions can turn user feedback into a practical list of improvements to review with the people responsible.

As part of my AI learning, I want to explore organizing user feedback and drafting guidance. This is a proposed use case, with professional review of any changes.

What has user training helped you discover about a process or system?

#BusinessAnalysis #UserTraining #ChangeManagement #ProcessImprovement #ResponsibleAI",https://www.linkedin.com/feed/update/urn:li:activity:7505634279058718720/,7505634279058718720,Not checked,2026-09-17,9
G17,2026-09-14,DE,Platform Governance & AI,"Eine Geschäftsanwendung bleibt nicht allein deshalb wertvoll, weil sie erfolgreich eingeführt wurde.","DEUTSCH

Eine Geschäftsanwendung bleibt nicht allein deshalb wertvoll, weil sie erfolgreich eingeführt wurde.

Sie benötigt eine kontinuierliche Governance, damit sie mit den Bedürfnissen der Benutzer, den betrieblichen Prioritäten, den Sicherheitsanforderungen und den Zielen der Organisation im Einklang bleibt.

Bei der Weltorganisation für geistiges Eigentum (WIPO) umfassten meine Aufgaben in der fachlichen Plattform-Governance:
• Benutzeranforderungen erfassen und präzisieren
• Anforderungen mit Product Owners und IT-Teams koordinieren
• Funktionstests, UAT und Anwendungsänderungen unterstützen
• Dashboards und geplante Berichte verwalten
• Probleme analysieren und bis zu ihrer Lösung nachverfolgen
• An Zugriffsverwaltung, Sicherheitsprüfungen und Lieferantenkoordination mitwirken
• Benutzeranleitungen erstellen sowie Schulung und Akzeptanz unterstützen

Diese Erfahrung hat mir gezeigt, dass Plattform-Governance nicht nur technische Administration bedeutet.

Sie schafft eine strukturierte Verbindung zwischen Menschen, Prozessen, Daten, Systemen und Kontrollen.

Wenn Organisationen KI in ihre Geschäftsanwendungen integrieren, wird diese Governance noch wichtiger. Neue Funktionen müssen einen messbaren Mehrwert schaffen und gleichzeitig Informationen schützen, Verantwortlichkeit gewährleisten und Benutzer angemessen unterstützen.

Ich ergänze heute meine fundierte Erfahrung in Business Analysis, Systemanalyse, Datenmanagement und Projektmanagement durch eine strukturierte und praxisorientierte Weiterbildung im Bereich der künstlichen Intelligenz.

Nachhaltige digitale Transformation bedeutet für mich mehr als die Einführung neuer Technologie.

Sie erfordert eine klare Verantwortlichkeit während des gesamten Lebenszyklus einer Anwendung.

Welcher Aspekt der Plattform-Governance wird am häufigsten unterschätzt: Verantwortlichkeit, Zugriffsverwaltung, Tests, Dokumentation oder Benutzerakzeptanz?


#PlattformGovernance
#BusinessAnalysis
#DigitaleTransformation
#Anwendungsmanagement
#VerantwortungsvolleKI",https://www.linkedin.com/feed/update/urn:li:activity:7505274474007744512/,7505274474007744512,Not checked,2026-09-15,10
